Date,Year,Month,Day,Day of the Year,E51
2006-06-19,2006,6,19,170,112.9115211
2006-07-03,2006,7,3,184,56.30955964
2006-07-20,2006,7,20,201,6.774660118
2006-08-11,2006,8,11,223,98.45325543
2006-08-26,2006,8,26,238,1.88E-11
2006-09-16,2006,9,16,259,22.2356146
2006-10-01,2006,10,1,274,26.08642753
2006-11-11,2006,11,11,315,0.948233625
2007-05-14,2007,5,14,134,4.364276933
2007-06-02,2007,6,2,153,5.351641071
2007-06-16,2007,6,16,167,166.6862001
2007-07-05,2007,7,5,186,210.6531435
2007-07-28,2007,7,28,209,128.4260492
2007-08-22,2007,8,22,234,122.0898718
2007-09-04,2007,9,4,247,96.98963883
2007-09-16,2007,9,16,259,-2.744744661
2007-09-27,2007,9,27,270,4.64149412
2007-10-15,2007,10,15,288,2.918166639
2008-05-06,2008,5,6,127,-0.449622028
2008-05-20,2008,5,20,141,10.56996638
2008-06-06,2008,6,6,158,1.828648236
2008-06-21,2008,6,21,173,39.28624957
2008-07-05,2008,7,5,187,29.24236856
2008-07-19,2008,7,19,201,110.6198375
2008-08-03,2008,8,3,216,100.9106979
2008-08-16,2008,8,16,229,97.40477011
2008-08-30,2008,8,30,243,67.7851599
2008-09-14,2008,9,14,258,40.77879048
2008-09-29,2008,9,29,273,4.261946765
2008-10-13,2008,10,13,287,42.96158917
2008-11-04,2008,11,4,309,19.24881396
2008-11-25,2008,11,25,330,6.850037973
2009-04-10,2009,4,10,100,0.36351661
2009-05-04,2009,5,4,124,-0.376473279
2009-05-18,2009,5,18,138,7.6293125
2009-06-07,2009,6,7,158,6.319626873
2009-06-24,2009,6,24,175,12.5576189
2009-07-09,2009,7,9,190,191.9578965
2009-07-20,2009,7,20,201,37.60058419
2009-08-06,2009,8,6,218,24.72868761
2009-08-23,2009,8,23,235,-4.075573578
2009-09-07,2009,9,7,250,60.99175656
2009-09-17,2009,9,17,260,17.44613012
2009-09-27,2009,9,27,270,27.11213476
2009-10-10,2009,10,10,283,2.12E-11
2009-10-21,2009,10,21,294,6.687363792
2009-11-04,2009,11,4,308,7.31148133
2010-04-20,2010,4,20,110,-2.46169807
2010-05-04,2010,5,4,124,1.896587918
2010-05-18,2010,5,18,138,31.91130381
2010-06-08,2010,6,8,159,31.49280806
2010-06-26,2010,6,26,177,45.10561222
